"","risk_tolerance","investment_experience","liquidity_needs","platform","time_spent","instrument_type_first_traded","first_deposit_amount","time_horizon","user_id","churn","n_days_gt10_l30d","avg_bal_gt10_l30d"
"1","high_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",33.1294166667,"stock",40,"med_time_horizon","895044c23edc821881e87da749c01034",0,22,80.8
"2","med_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",16.5735166667,"stock",200,"short_time_horizon","458b1d95441ced242949deefe8e4b638",0,22,387.156363636364
"3","med_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",10.0083666667,"stock",25,"long_time_horizon","c7936f653d293479e034865db9bb932f",0,22,49.24
"4","med_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",1.03163333333,"stock",100,"short_time_horizon","b255d4bd6c9ba194d3a350b3e76c6393",0,22,191.885
"5","high_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",8.18725,"stock",20,"long_time_horizon","4a168225e89375b8de605cbc0977ae91",0,22,162.414545454545
"6","med_risk_tolerance","no_investment_exp","not_important_liq_need","iOS",12.9681166667,"stock",100,"med_time_horizon","0322b1d744cc89ebbe6ebe70d824d922",0,17,379.116764705882
"7","low_risk_tolerance","good_investment_exp","very_important_liq_need","Android",30.7100833333,"stock",5,"long_time_horizon","f4cac8c1544b723ddedc9bdba81c64c0",1,21,103.252666666667
"8","high_risk_tolerance","good_investment_exp","somewhat_important_liq_need","iOS",0,"stock",100,"short_time_horizon","bdc39d2fc664ef9a5e6713168057f892",0,22,1138.83045454545
"9","high_risk_tolerance","good_investment_exp","very_important_liq_need","iOS",0,"stock",5000,"short_time_horizon","85f2f0f54411b4f3e7a403ba902e7280",0,22,7232.25772727273
"10","med_risk_tolerance","no_investment_exp","very_important_liq_need","Android",2.96961666667,"stock",11,"med_time_horizon","529ddd19dac72d55cde8e633340a9aed",0,21,27.9847619047619
"11","med_risk_tolerance","no_investment_exp","very_important_liq_need","both",9.4436,"stock",50,"short_time_horizon","bf7d43376fee932d78537347beb07e36",0,22,137.806363636364
"12","high_risk_tolerance","good_investment_exp","very_important_liq_need","Android",3.35893333333,"etp",1000,"long_time_horizon","56bea929bcaeae73d3737a42c02bfc3c",0,22,4256.62681818182
"13","high_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",74.3467666667,"stock",200,"short_time_horizon","b63f1ab8005b313815f116ea99ae1864",0,22,346.920309090909
"14","high_risk_tolerance","no_investment_exp","somewhat_important_liq_need","iOS",0.987966666667,"stock",3000,"med_time_horizon","3bc30bf7afa2a7ef04bb7d8f9742d752",0,22,5922.86045454545
"15","med_risk_tolerance","no_investment_exp","very_important_liq_need","Android",4.52153333333,"adr",5000,"long_time_horizon","51a4ce44d4bc392a4a2db226308e8d0b",0,22,7882.10247272727
"16","high_risk_tolerance","no_investment_exp","very_important_liq_need","iOS",4.55301666667,"wrt",10,"med_time_horizon","064ecf3e3a66c362fa52807411ced374",0,22,28.7538272727273
"17","high_risk_tolerance","no_investment_exp","very_important_liq_need","iOS",0,"stock",40,"short_time_horizon","50cf51b304d3dd9796063cf7b8221ada",0,22,23.5190909090909
"18","high_risk_tolerance","no_investment_exp","very_important_liq_need","Android",19.8825,"stock",100,"short_time_horizon","385e0cebee45e07eb97304f03a093529",0,22,106.307727272727
"19","high_risk_tolerance","good_investment_exp","very_important_liq_need","iOS",0,"stock",150,"short_time_horizon","bb70182208e73de1dccc347d098b4292",0,22,3839.3705
"20","low_risk_tolerance","no_investment_exp","very_important_liq_need","both",0,"stock",50,"med_time_horizon","44daa41022383125d36277779c8e8f85",0,22,34.9556363636364
"21","high_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",0.493266666667,"etp",500,"med_time_horizon","d2723168844432c5186a702aae7e58fa",0,22,1753.20727272727
"22","high_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",8.54966666667,"stock",10,"short_time_horizon","3d8664d2b058d4796589a4dbedcc1a48",1,4,10.1525
"23","high_risk_tolerance","no_investment_exp","very_important_liq_need","iOS",0,"stock",1000,"short_time_horizon","72332b7f69aa4e58ae7b3d3737d79b41",0,22,674.665418181818
"24","med_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",18.1116166667,"stock",200,"short_time_horizon","62b104513b4eb94f9464b6da36d00c46",0,22,2564.28103636364
"25","high_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",0,"stock",250,"long_time_horizon","a78ceddff542a102b31cff689a618d86",0,22,1412.26318181818
"26","med_risk_tolerance","no_investment_exp","very_important_liq_need","iOS",21.4719833333,"adr",25,"short_time_horizon","c96724b6ba588a8ebaa00e44f48d599f",0,22,27.19
"27","high_risk_tolerance","good_investment_exp","very_important_liq_need","Android",19.1435833333,"stock",10,"long_time_horizon","013af61a0a1c2cbef974b88fd4cd8b34",0,22,716.741363636364
"28","med_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",4.71173333333,"stock",50,"short_time_horizon","8c41f7ac77c5487dc61a1bc7754c1f1b",0,6,10.125
"29","high_risk_tolerance","no_investment_exp","very_important_liq_need","Android",12.3519666667,"stock",100,"short_time_horizon","fadd47d24759e87fe4e6dc49800d314e",0,22,74.8922727272727
"30","med_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",14.8278833333,"stock",200,"short_time_horizon","0c2cc46a5d5eeedd3a2c54e59b15e01a",0,22,275.087954545455
"31","high_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",52.5490166667,"stock",10,"long_time_horizon","0aed336cdbbd2e9e664d053d877678c8",0,22,80.8863636363636
"32","high_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",0,"stock",100,"long_time_horizon","c840d6ccb5a43a68312e3ae11ee1ac6a",0,22,66.1027272727273
"33","high_risk_tolerance","limited_investment_exp","very_important_liq_need","Android",17.97345,"stock",100,"short_time_horizon","209cbf0d52efd985e9a15aad05ee1e3a",1,21,198.377619047619
"34","med_risk_tolerance","limited_investment_exp","very_important_liq_need","iOS",11.9484166667,"stock",50,"short_time_horizon","44a2d398d8783c29f605f3528b6f5eb7",1,20,40.4
"35","high_risk_tolerance","good_investment_exp","very_important_liq_need","Android",2.36883333333,"stock",500,"med_time_horizon","253352d8347caa7f3de8bb1096df9a4f",0,22,4549.33227272727
"36","med_risk_tolerance","no_investment_exp","very_important_liq_need","Android",35.7030833333,"stock",50,"short_time_horizon","e856013301948923da8a7ee15b34ba62",0,22,231.923563636364
